Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
88148;COFCO MARCELANDIA;47961;COFCO MARCELANDIA CL 514;;;;;0,018;
88150;COFCO SORRISO II;47962;COFCO SORRISO II CL 514;;;;;0,033;
88556;VAPLAST;47971;VAPLAST CL 514;;;;0,019;;
88114;COFCO SANTA CARMEN;47975;COFCO SANTA CARMEN CL 514;;;;;0,011;
88428;CERAMICA DOIS IRMAOS;47982;CERAMICA DOIS IRMAOS CL 514;;;0,156;0,234;0,193;0,236
88315;SANTINI MADEIRAS;48004;SANTINI MADEIRAS CL 514;0,033;0,068;0,102;0,075;0,057;0,045
88984;FANEM LTDA;48038;FANEM LTDA CL 514;0,003;0,003;0,003;0,002;;0,002
89580;OURO VERDE ARMAZÉNS;48050;OURO VERDE ARMAZENS CL 514;;0,082;0,083;0,075;0,061;0,084
89743;NOVA ITA;48053;NOVA ITA CL 514;0,020;;;;;
89134;JOSAPAR;48060;JOSAPAR NORDESTE LIVRE;;0,022;;0,028;;0,038
89258;SANTA RITA CRISTAIS;48063;SANTA RITA CRISTAIS CL 514;0,081;0,052;0,063;0,061;0,047;0,044
89181;NEWTECH;48077;NEWTECH CL 514;;;0,035;0,008;;0,006
89200;IGE;48078;IGE CL 514;0,055;0,055;;;;
89622;FAZENDA DOIS RIOS LTDA;48104;FAZENDA DOIS RIOS LTDA CL 514;0,007;0,002;;;;
89716;SUPERBRITAS;48117;SUPERBRITAS CL 514;;0,006;;;;
89723;LIG BRINK;48118;LIG BRINK CL 514;0,067;0,046;;;;
90251;TEGUS LTDA;48140;TEGUS LTDA CL 514;0,071;0,054;0,065;0,055;0,033;0,045
90255;TERGRAN;48141;TERGRAN CL 514;;0,070;;0,048;0,113;
90278;TEXTILMAX CL 514;48142;TEXTILMAX CL 514;;0,034;;;;
90168;C CL FRIGORIFICO BB;48161;C CL FRIGORIFICO BB;;;;;;0,160
90457;DIEMER;48168;DIEMER CL 514;0,012;0,016;;0,042;0,007;0,022
90524;SONO BRASIL;48169;SONO BRASIL CL 514;;;;;0,025;
90526;EMBRAGRAM;48170;EMBRAGRAM CL 514;;;;;;0,016
90237;PETPACK CL 514;48178;PETPACK CL 514;;;;;0,048;
90336;JDI PELLETES;48182;JDI PELLETES CL 514;0,122;0,078;0,090;0,123;0,078;0,094
90512;KAKA GRANITOS;48190;KAKA GRANITOS CL 514;;;0,033;0,031;;
90574;REVENACO;48194;REVENACO CL 514;0,084;;;;;
90653;BRASIPLA IND;48215;BRASIPLA CL;0,022;0,032;;;0,043;0,046
91487;ELGIN AM;48229;ELGIN AM CL 514;;;;;0,044;
90647;ANDROID;48234;ANDROID CL 514;;0,027;;;0,009;0,030
90816;COFCO NOVA UBIRATA II;48237;COFCO NOVA UBIRATA II CL 514;;;;;0,007;
91102;101 DO BRASIL;48243;101 DO BRASIL CL 514;;;;0,059;;0,016
91645;SUPERBOM ALIMENTOS;48252;SUPERBOM ALIMENTOS CL 514;0,031;0,054;0,042;0,058;0,056;0,058
90804;COFCO CLAUDIA;48254;COFCO CLAUDIA CL 514;;;;;0,023;
90837;BAN POTE;48255;BAN POTE CL 514;0,040;;;0,059;;
91317;MAR & TERRA;48265;MAR & TERRA CL 514;0,124;0,128;0,039;0,115;0,109;0,132
92315;CENTRO SHOPPING CL 514;48287;CENTRO SHOPPING CL 514;;0,005;;0,010;0,009;0,018
92461;DAHER ACO;48305;DAHER ACO CL 514;0,009;0,079;0,078;0,067;;
91919;IRMAOS MOTTIN;48320;IRMAOS MOTTIN CL 514;0,031;0,045;0,030;0,031;;0,025
55870;USINAS DO PRATA;48325;CGH AGUA CLARA I5;;;;0,660;1,800;1,800
92283;INDUSTRIA DE EXTRUSÃO;48342;INDUSTRIA DE EXTRUSAO CL 514;;0,016;;0,023;;0,014
92391;BEIRUTH;48346;BEIRUTH CL 514;;0,044;0,037;0,035;;
